diretorio,modelo,preditor,n,sim_ticks,sim_insts,ipc,lookups_total,cond_incorrect,direct_cond,squashed_issued,squashed_examined,decode_squashed,clk_ticks,l1d_misses,l1d_miss_rate,miss_rate,clk_ghz
outorder_LocalBP_n1024,outorder,LocalBP,1024,379532754.0,2690805.0,2.360896,1316527.0,43175.0,917478.0,8813.0,1120409.0,8520.0,333.0,4944.0,0.004641,4.7058,3.0
outorder_LocalBP_n2048,outorder,LocalBP,2048,2360197000.0,5388066.0,2.282887,2920417.0,96889.0,1988640.0,17928.0,2682813.0,15332.0,1000.0,16606.0,0.007548,4.8721,1.0
outorder_LocalBP_n2048,outorder,LocalBP,2048,596683750.0,5358740.0,2.245217,2817691.0,92748.0,1929336.0,17962.0,2562953.0,15292.0,250.0,17513.0,0.00805,4.8072,4.0
outorder_LocalBP_n2048,outorder,LocalBP,2048,792851022.0,5368202.0,2.254661,2852081.0,94762.0,1952494.0,18041.0,2599562.0,15312.0,333.0,16784.0,0.00769,4.8534,3.0
outorder_LocalBP_n4096,outorder,LocalBP,4096,4845710000.0,10779704.0,2.224587,6123869.0,195330.0,4135559.0,36312.0,5853723.0,28897.0,1000.0,50033.0,0.011282,4.7232,1.0
outorder_LocalBP_n4096,outorder,LocalBP,4096,1235551250.0,10778852.0,2.18098,6127479.0,197709.0,4140784.0,36128.0,5830777.0,28888.0,250.0,51194.0,0.01152,4.7747,4.0
outorder_LocalBP_n4096,outorder,LocalBP,4096,1584328419.0,10615538.0,2.231213,5827298.0,186372.0,3971233.0,35798.0,5498070.0,28943.0,333.0,50675.0,0.011685,4.6931,3.0
outorder_LocalBP_n8192,outorder,LocalBP,8192,10385377000.0,21766293.0,2.095859,13046317.0,415920.0,8746373.0,72632.0,12712012.0,56048.0,1000.0,141699.0,0.015628,4.7553,1.0
outorder_LocalBP_n8192,outorder,LocalBP,8192,2752022500.0,21936311.0,1.992744,13326075.0,423991.0,8902910.0,73607.0,13040256.0,55972.0,250.0,140978.0,0.015383,4.7624,4.0
outorder_LocalBP_n8192,outorder,LocalBP,8192,3681305343.0,22189665.0,2.007211,13434783.0,439294.0,8983187.0,73829.0,13006970.0,55991.0,333.0,141710.0,0.015199,4.8902,3.0
outorder_LocalBP_n16384,outorder,LocalBP,16384,25168116000.0,43616672.0,1.733013,27080104.0,840512.0,18113693.0,147044.0,26763955.0,110229.0,1000.0,363347.0,0.019939,4.6402,1.0
outorder_LocalBP_n16384,outorder,LocalBP,16384,9073007000.0,43921518.0,1.210225,27812390.0,868772.0,18525938.0,147432.0,27578650.0,110145.0,250.0,371434.0,0.020149,4.6895,4.0
outorder_LocalBP_n16384,outorder,LocalBP,16384,10938736647.0,44249739.0,1.347063,28161869.0,880805.0,18722124.0,149198.0,27944154.0,110154.0,333.0,368007.0,0.019766,4.7046,3.0
outorder_LocalBP_n32768,outorder,LocalBP,32768,58052731000.0,88940995.0,1.532073,58484001.0,1767197.0,38763117.0,296808.0,58703767.0,218595.0,1000.0,909205.0,0.024292,4.559,1.0
outorder_LocalBP_n32768,outorder,LocalBP,32768,23391242500.0,88636385.0,0.947324,58134370.0,1738654.0,38573463.0,294662.0,58495668.0,218333.0,250.0,916172.0,0.024626,4.5074,4.0
outorder_LocalBP_n32768,outorder,LocalBP,32768,27525270843.0,89230532.0,1.079509,59304268.0,1821973.0,39335550.0,298113.0,59559333.0,218329.0,333.0,910623.0,0.024143,4.6319,3.0
outorder_LocalBP_n65536,outorder,LocalBP,65536,130506932000.0,179951474.0,1.378865,123421269.0,3701891.0,81740970.0,597570.0,125000626.0,435342.0,1000.0,2163281.0,0.028389,4.5288,1.0
outorder_LocalBP_n65536,outorder,LocalBP,65536,57332249750.0,179522158.0,0.782815,123249025.0,3671306.0,81558900.0,590200.0,125194609.0,434835.0,250.0,2160382.0,0.028453,4.5014,4.0
outorder_LocalBP_n65536,outorder,LocalBP,65536,65971503126.0,181903375.0,0.918182,127548543.0,3812823.0,83986971.0,598910.0,129969236.0,434962.0,333.0,2152981.0,0.02783,4.5398,3.0
outorder_LocalBP_n131072,outorder,LocalBP,131072,293665606000.0,369045467.0,1.256686,270227897.0,7961443.0,177272273.0,1209732.0,277855547.0,868793.0,1000.0,5041609.0,0.031945,4.4911,1.0
outorder_LocalBP_n131072,outorder,LocalBP,131072,135913871250.0,366472553.0,0.67409,265106413.0,7798808.0,174452374.0,1191204.0,272157742.0,868135.0,250.0,5034667.0,0.032217,4.4705,4.0
outorder_LocalBP_n131072,outorder,LocalBP,131072,152988474051.0,367203135.0,0.799267,264510079.0,7802739.0,174096653.0,1201909.0,270887169.0,868176.0,333.0,4980065.0,0.031804,4.4818,3.0
outorder_LocalBP_n262144,outorder,LocalBP,262144,646815166000.0,752711502.0,1.16372,568453300.0,16816146.0,372676743.0,2455271.0,586076345.0,1735632.0,1000.0,11418126.0,0.035201,4.5123,1.0
outorder_LocalBP_n262144,outorder,LocalBP,262144,312190728000.0,744512357.0,0.5962,557450893.0,16244955.0,365922928.0,2383945.0,575445114.0,1734553.0,250.0,11369530.0,0.035633,4.4394,4.0
outorder_LocalBP_n262144,outorder,LocalBP,262144,351887682411.0,759683499.0,0.718907,585099537.0,16947689.0,381081715.0,2451238.0,608018275.0,1735431.0,333.0,11428159.0,0.034872,4.4473,3.0
outorder_LocalBP_n524288,outorder,LocalBP,524288,1390407298000.0,1516589135.0,1.090752,1186190057.0,33606100.0,774582380.0,4935669.0,1241063042.0,3469466.0,1000.0,25461016.0,0.039015,4.3386,1.0
outorder_LocalBP_n524288,outorder,LocalBP,524288,707087095000.0,1528740742.0,0.540507,1201830152.0,35023881.0,785272249.0,4866744.0,1250651785.0,3469478.0,250.0,25598778.0,0.038637,4.4601,4.0
outorder_LocalBP_n524288,outorder,LocalBP,524288,773808659091.0,1497727236.0,0.64453,1157313413.0,32791053.0,758308417.0,4844075.0,1207351963.0,3467217.0,333.0,25508296.0,0.039738,4.3242,3.0
outorder_LocalBP_n1048576,outorder,LocalBP,1048576,2975773383000.0,3051564928.0,1.02547,2433172177.0,68040571.0,1589791479.0,9905464.0,2553210645.0,6936984.0,1000.0,56418780.0,0.042936,4.2798,1.0
outorder_LocalBP_n1048576,outorder,LocalBP,1048576,1563017130500.0,3080435794.0,0.492707,2478170501.0,69731085.0,1615157604.0,9753841.0,2600453011.0,6937741.0,250.0,56120107.0,0.042118,4.3173,4.0
outorder_LocalBP_n1048576,outorder,LocalBP,1048576,1721439660843.0,3085599188.0,0.596887,2481397583.0,71111601.0,1618693132.0,9924584.0,2593120876.0,6937990.0,333.0,56049209.0,0.041859,4.3931,3.0
